Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°C),Temperature Sampled High (°C),Dew Point Sampled Low (°C),Dew Point Sampled High (°C),Wind Speed Min (kph),Wind Speed Max (kph),Gust Speed Max (kph),Wind Direction Dominant (degrees),Visibility Min (km),Visibility Max (km),Precipitation (mm),Snow Depth Max (mm),Pressure Altimeter Min (mbar),Pressure Altimeter Max (mbar),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
VTSP,Asia/Bangkok,2017-12-03,24,31,22,24,0,18.52,31.48,E,8,10,,,1006,1010,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-04,26,30,22,24,1.85,22.22,,E,6,10,,,1005,1010,FEW,mostly clear,BKN,mostly cloudy,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-05,26,29,22,24,0,20.37,,E,9,10,,,1006,1010,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-06,25,31,22,24,0,22.22,,E,9,10,,,1008,1012,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-07,23,32,22,24,0,20.37,,E,0.7,10,,,1009,1014,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-08,23,31,22,24,0,18.52,,E,5,10,,,1009,1015,FEW,mostly clear,BKN,mostly cloudy,RETS,recent thunderstorm,TS,thunderstorm,RA,rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-09,23,32,21,24,0,22.22,40.74,E,1.5,10,,,1010,1014,FEW,mostly clear,BKN,mostly cloudy,RETSRA,recent thunderstorm with rain,TS,thunderstorm,+TSRA,thunderstorm with heavy rain,TSRA,thunderstorm with rain,RERA,recent rain,-RA,light rain,VCSH,showers in the vicinity,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-10,24,31,21,24,0,18.52,,E,7,10,,,1011,1015,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-11,24,31,20,23,0,18.52,,E,8,10,,,1011,1015,FEW,mostly clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
VTSP,Asia/Bangkok,2017-12-12,24,31,18,23,0,20.37,,E,8,10,,,1011,1016,FEW,mostly clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
